Timestamp,"How would you rate Zaro's baked goods (bagels, muffins croissants, scones, cookies, brownies, blondies):","Overall, how would you rate Zaro's coffee?","Zaro’s is a local, family-owned business with four generations of history. Would this influence your decision to purchase their coffee and food on campus?","If Zaro’s had a location on campus, how likely would you be to visit?",Any additional comments or suggestions about Zaro’s coffee and food?
3/13/2025 10:49:25,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,Great place!
3/13/2025 10:52:14,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 10:52:23,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 10:54:21,Excellent,I did not try any.,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 10:54:35,Very Good,I did not try any.,"Yes, I prefer supporting family-owned businesses",4,Good people
3/13/2025 10:55:18,Excellent,I did not try any.,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 10:55:40,Excellent,Excellent,"Somewhat, but it’s not a major factor",4,I would definitely go to Zaro’s if they had an on-campus location as long as it’s included on the meal plan
3/13/2025 10:57:08,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,SO AWESOME
3/13/2025 10:57:25,Very Good,Very Good,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 11:00:43,Very Good,I did not try any.,"Somewhat, but it’s not a major factor",3,
3/13/2025 11:01:16,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,Amazing
3/13/2025 11:03:25,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 11:03:51,Excellent,I did not try any.,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 11:04:22,Excellent,I did not try any.,"Yes, I prefer supporting family-owned businesses",4,Would love if there was a hot cocoa option and other pastries/donuts 
3/13/2025 11:05:05,Excellent,Good,"Yes, I prefer supporting family-owned businesses",3,
3/13/2025 11:05:23,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 11:05:31,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 11:05:31,Very Good,I did not try any.,"Yes, I prefer supporting family-owned businesses",3,
3/13/2025 11:05:59,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 11:07:17,Excellent,I did not try any.,"Yes, I prefer supporting family-owned businesses",4,The staff were very friendly and nice! and the food is delicious 
3/13/2025 11:07:53,Excellent,I did not try any.,"Yes, I prefer supporting family-owned businesses",4,Very good food!
3/13/2025 11:09:24,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 11:09:29,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 11:10:15,Excellent,Very Good,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 11:10:18,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,Love them
3/13/2025 11:10:20,Very Good,I did not try any.,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 11:10:34,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,Very good! Hope you come to campus :)
3/13/2025 11:11:20,Very Good,Very Good,"Yes, I prefer supporting family-owned businesses",1,
3/13/2025 11:13:16,Very Good,I did not try any.,"Yes, I prefer supporting family-owned businesses",4,If they come to campus please make iced coffee available with a meal swipe meal/good value for meal swipes. The current spread on campus has dwindled since I was a freshman and it’s quite disappointing how cannon has degraded in variety.
3/13/2025 11:14:31,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,please open on campus
